,filename,pred,true,raw_pred
0,exploration/benign/69828c857d4824b9f850b1e0597d2c134c91114b7a0774c41dffe33b0eb23721.txt,benign,benign,-2.1282458305358887
1,exploration/malware/36791b85f3fce535e80946aa7989be789159d2ae0946d42f0c9cc60f42c967b3.txt,malware,malware,2.3067338466644287
2,exploration/malware/97c1e84e91ab397d5c803f32a5ef3311374d3364fe200637f67198bd24c67420.txt,malware,malware,2.4389524459838867
3,exploration/malware/b9c1a0e8b126dfee05c8e45cad7d65ef78c79579d1a0d39a3b79686113bd6009.txt,malware,malware,1.484712839126587
4,exploration/malware/81f626a4b8dc12bf0c970447d61a0e3f5827f04a1a85582911f59a3db5fbc1c9.txt,benign,malware,-0.9432936906814575
5,exploration/malware/d0ce3b5601338dce7d675251e4c08b356436697d5e71cbc445821b36bb2bba0c.txt,malware,malware,3.1555581092834473
6,exploration/malware/83dd30b3f8fe6959ba024b27077155b867166d94c754bc0927ec186ac78c6503.txt,malware,malware,1.0275967121124268
7,exploration/malware/c0d2b5dff2ac6ba70dd7fa8bde0126b6b78baff0de1d6dac53caab8c6f4617f3.txt,malware,malware,2.115612030029297
8,exploration/malware/751105868dc2d7a992375b71d444f75bfb6356c253925d05739fd0cb736aea64.txt,malware,malware,2.4380016326904297
9,exploration/malware/82b80608c7263720e0d767535a0cc081a631da7f5d06e4fa4480716a1e1a57ae.txt,malware,malware,1.0459165573120117
10,exploration/malware/2d2fa95aa9bf662fdcd71d75dc4ddb6e322b3db907d7555450c5db9def301012.txt,benign,malware,-0.6948715448379517
11,exploration/benign/3be77cde3fe49040e294b6e4b4fceb284fcfb65279fcdcad9dc087d2d4406058.txt,benign,benign,-1.0948940515518188
12,exploration/benign/d752be52e51756f597a1e346255bf400a31063c70c9c7c724c06b2d620d5212a.txt,benign,benign,-2.0026957988739014
13,exploration/benign/3ca96b622f4af8cfdf1d65b9c1c2ee118bc924753ad95d3376b97c6f08153a54.txt,benign,benign,-2.0512120723724365
14,exploration/malware/3372ee2849ed8b9eed24f9e13db6a53a244a6d68c3cbfb4ad729801090d10c17.txt,malware,malware,2.329451322555542
15,exploration/malware/74751951816573f6f80c84c2c98022baaa96594fd978f56bd4fc7a8c28f7d691.txt,malware,malware,2.1576621532440186
0,exploration/benign/a71a16c4b2d56acc3f8e2a2c576a0b9f1fc848e02110ba70e82c3708898a3328.txt,benign,benign,-2.1886401176452637
1,exploration/malware/267d50a9d0258cb537fcfc711c6ffd4c159981883bd2dcceedcf4eb86f3a3c72.txt,malware,malware,1.3408464193344116
2,exploration/malware/50fd8dca7de5544b455e86fcba6301c2e8647cf3efb145f756326b6b01013e77.txt,malware,malware,2.168875217437744
3,exploration/benign/5e87e24e81c8389594353639f3fe59b2ac4d5d1360a316f41c7b4edb7bb56f47.txt,malware,benign,0.7178493142127991
4,exploration/malware/4580587357af810753a81ad1b27ac4746fcf5e6c1b20ec55e75f755eded57381.txt,malware,malware,3.1903510093688965
5,exploration/malware/ab79df776ef07ae9abccac6472f5673c637930eb07b687983ab90d443644f268.txt,malware,malware,2.378326416015625
